label1,name1,label2,name2,label3,name3
BlaBlaCar Bus,BlaBlaCarBus,,,,
BlaBlaCar Bus,BlaBlaCarBus,Latest product updates,BBCB_LatestProductUpdates,,
BlaBlaCar Bus,BlaBlaCarBus,Recently updated articles,BBCB_RecentlyUpdatedArticles,,
BlaBlaCar Bus,BlaBlaCarBus,Operational info & processes,BBCB_OperationalInfoProcesses,,
BlaBlaCar Bus,BlaBlaCarBus,Tools,BBCB_Tools,,
BlaBlaCar Bus,BlaBlaCarBus,Booking,BBCB_Booking,,
BlaBlaCar Bus,BlaBlaCarBus,Technical issues,BBCB_TechnicalIssues,,
BlaBlaCar Bus,BlaBlaCarBus,"Payment, Vouchers & Refunds",BBCB_PaymentVouchersRefunds,,
BlaBlaCar Bus,BlaBlaCarBus,"Payment, Vouchers & Refunds",BBCB_PaymentVouchersRefunds,Payment,BBCB_PVR_Payment
BlaBlaCar Bus,BlaBlaCarBus,"Payment, Vouchers & Refunds",BBCB_PaymentVouchersRefunds,Vouchers,BBCB_PVR_Vouchers
BlaBlaCar Bus,BlaBlaCarBus,"Payment, Vouchers & Refunds",BBCB_PaymentVouchersRefunds,Refunds,BBCB_PVR_Refunds
BlaBlaCar Bus,BlaBlaCarBus,Trust & Safety,BBCB_TrustSafety,,
BlaBlaCar Bus,BlaBlaCarBus,Reduced mobility,BBCB_ReducedMobility,,
BlaBlaCar Bus,BlaBlaCarBus,Feedback,BBCB_Feedback,,
BlaBlaCar Bus,BlaBlaCarBus,Compensation Requests,BBCB_CompensationRequests,,
BlaBlaCar Bus,BlaBlaCarBus,Luggage,BBCB_Luggage,,
BlaBlaCar Bus,BlaBlaCarBus,Press & partnerships,BBCB_PressPartnerships,,
BlaBlaCar Bus,BlaBlaCarBus,Insurance,BBCB_Insurance,,
BlaBlaCar Bus,BlaBlaCarBus,Virtual Interlining,BBCB_VirtualInterlining,,
BlaBlaCar Bus,BlaBlaCarBus,Booking conflicts,BBCB_BookingConflicts,,
BlaBlaCar Bus,BlaBlaCarBus,Call center specifics,BBCB_CallCenterSpecifics,,
BlaBlaCar Bus,BlaBlaCarBus,Call center specifics,BBCB_CallCenterSpecifics,Calls & tickets,BBCB_CCS_CallsTickets
BlaBlaCar Bus,BlaBlaCarBus,Traffic Control specifics,BBCB_TrafficControlSpecifics,,
BlaBlaCar Bus,BlaBlaCarBus,Traffic Control specifics,BBCB_TrafficControlSpecifics,Basics and updates,OBI_BasicsAndUpdates
BlaBlaCar Bus,BlaBlaCarBus,Traffic Control specifics,BBCB_TrafficControlSpecifics,Contacts,OBI_Contacts
BlaBlaCar Bus,BlaBlaCarBus,Traffic Control specifics,BBCB_TrafficControlSpecifics,Processes,OBI_Processes
BlaBlaCar Bus,BlaBlaCarBus,Traffic Control specifics,BBCB_TrafficControlSpecifics,Pax communication,OBI_PaxCommunication
BlaBlaCar Bus,BlaBlaCarBus,Traffic Control specifics,BBCB_TrafficControlSpecifics,RTTS: Alfred/Samsara,OBI_RTTSAlfredSamsara
BlaBlaCar Bus,BlaBlaCarBus,Traffic Control specifics,BBCB_TrafficControlSpecifics,S3 Backoffice,OBI_S3Backoffice
BlaBlaCar Bus,BlaBlaCarBus,Traffic Control specifics,BBCB_TrafficControlSpecifics,Channel crossing,OBI_ChannelCrossing
BlaBlaCar Bus,BlaBlaCarBus,Traffic Control specifics,BBCB_TrafficControlSpecifics,Incident reports / Zendesk,OBI_IncidentReportsZendesk
BlaBlaCar Bus,BlaBlaCarBus,Traffic Control specifics,BBCB_TrafficControlSpecifics,S3 Portal,OBI_S3Portal
BlaBlaCar,BlaBlaCar,,,,
BlaBlaCar,BlaBlaCar,Latest product updates,BBC_LatestProductUpdates,,
BlaBlaCar,BlaBlaCar,Recently updated articles,BBC_RecentlyUpdatedArticles,,
BlaBlaCar,BlaBlaCar,General,BBC_General,,
BlaBlaCar,BlaBlaCar,Profile & Account,BBC_ProfileAccount,,
BlaBlaCar,BlaBlaCar,Profile & Account,BBC_ProfileAccount,Sign-up,BBC_G_SignUp
BlaBlaCar,BlaBlaCar,Profile & Account,BBC_ProfileAccount,Log in,BBC_G_LogIn
BlaBlaCar,BlaBlaCar,Profile & Account,BBC_ProfileAccount,Profile & ID check,BBC_G_ProfileIDCheck
BlaBlaCar,BlaBlaCar,Profile & Account,BBC_ProfileAccount,Emails/Notifications/SMS,BBC_G_EmailsNotificationsSMS
BlaBlaCar,BlaBlaCar,Profile & Account,BBC_ProfileAccount,Super Driver Program,BBC_G_SuperDriverProgram
BlaBlaCar,BlaBlaCar,Moderation,BBC_Moderation,,
BlaBlaCar,BlaBlaCar,Moderation,BBC_Moderation,Moderation Guidelines,BBC_M_ModerationGuidelines
BlaBlaCar,BlaBlaCar,Moderation,BBC_Moderation,Ratings,BBC_M_Ratings
BlaBlaCar,BlaBlaCar,Offering and Managing my ride,BBC_OfferingAndManagingMyRide,,
BlaBlaCar,BlaBlaCar,Offering and Managing my ride,BBC_OfferingAndManagingMyRide,Messages,BBC_OMR_Messages
BlaBlaCar,BlaBlaCar,Offering and Managing my ride,BBC_OfferingAndManagingMyRide,Publication,BBC_OMR_Publication
BlaBlaCar,BlaBlaCar,Offering and Managing my ride,BBC_OfferingAndManagingMyRide,Pricing,BBC_OMR_Pricing
BlaBlaCar,BlaBlaCar,Offering and Managing my ride,BBC_OfferingAndManagingMyRide,Boost Smart Stops,BBC_OMR_BoostSmartStops
BlaBlaCar,BlaBlaCar,Offering and Managing my ride,BBC_OfferingAndManagingMyRide,Zen - Door-to-door,BBC_OMR_ZenDoorToDoor
BlaBlaCar,BlaBlaCar,Making a booking,BBC_MakingABooking,,
BlaBlaCar,BlaBlaCar,Making a booking,BBC_MakingABooking,Search,BBC_Search
BlaBlaCar,BlaBlaCar,Making a booking,BBC_MakingABooking,How booking works,BBC_HowBookingWorks
BlaBlaCar,BlaBlaCar,Making a booking,BBC_MakingABooking,All & cross-border rides,BBC_M_AllCrossBorderRides
BlaBlaCar,BlaBlaCar,Cancelling or making a claim,BBC_CancellingOrMakingAClaim,,
BlaBlaCar,BlaBlaCar,Cancelling or making a claim,BBC_CancellingOrMakingAClaim,Disagreements,BBC_CMC_Disagreements
BlaBlaCar,BlaBlaCar,Cancelling or making a claim,BBC_CancellingOrMakingAClaim,Goodwill gestures,BBC_CMC_GoodwillGestures
BlaBlaCar,BlaBlaCar,"Money, Payments & Refunds",BBC_MoneyPaymentsRefunds,,
BlaBlaCar,BlaBlaCar,"Money, Payments & Refunds",BBC_MoneyPaymentsRefunds,PSGRs: onboard and online countries,BBC_MPR_PSGRsOnboardAndOnlineCountries
BlaBlaCar,BlaBlaCar,"Money, Payments & Refunds",BBC_MoneyPaymentsRefunds,DRVRs: online countries (Pay-out),BBC_MPR_DRVRsOnlineCountriesPayOut
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Safety,BBC_TS_Safety
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,TRUST & SAFETY MODERATION GUIDELINES,BBC_TS_TRUSTSAFETYMODERATIONGUIDELINES
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Tools,BBC_TS_Tools
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Incident / PR risk,BBC_TS_IncidentPRRisk
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Behavior Forms,BBC_TS_BehaviorForms
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Police Requests,BBC_TS_PoliceRequests
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Call to Care,BBC_TS_CallToCare
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Business,BBC_TS_Business
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Fraud,BBC_TS_Fraud
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Flags,BBC_TS_Flags
BlaBlaCar,BlaBlaCar,Technical,BBC_Technical,,
BlaBlaCar,BlaBlaCar,Technical,BBC_Technical,Bugs / Troubleshooting,BBC_T_BugsTroubleshooting
BlaBlaCar,BlaBlaCar,Technical,BBC_Technical,Apps,BBC_T_Apps
BlaBlaCar,BlaBlaCar,Expert topics,BBC_ExpertTopics,,
BlaBlaCar,BlaBlaCar,Expert topics,BBC_ExpertTopics,Campaigns,BBC_ET_Campaigns
BlaBlaCar,BlaBlaCar,Expert topics,BBC_ExpertTopics,Social Media & Store moderation,BBC_ET_SocialMediaStoreModeration
BlaBlaCar,BlaBlaCar,Expert topics,BBC_ExpertTopics,Data compliance (GDPR),BBC_ET_DataComplianceGDPR
BlaBlaCar,BlaBlaCar,Expert topics,BBC_ExpertTopics,CRT Content,BBC_ET_CRTContent
